uuid	legacy_id	short_name	name	entry_date	types_uuids	layers_uuids	types_labels	layers_labels
21721368-cafa-59fd-b216-5c215a94e5fe		AntQ	Antiphon for Quicumque	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
6789fe79-be3d-58e2-9019-bf14a791100a		AntM	Antiphon for Magnificat	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
48fab603-2d65-529f-8577-dbfad4668d86		AntN	Antiphon for Nunc dimittis	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
8c26b598-a297-59d1-949c-10124899d747		R	Responsory	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
c05002ee-b413-5d6f-a6ad-e679502da3e6		RV	Responsory Verse	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
4ba42eeb-8f67-5c93-a04a-76e8f5566b3d		RTrop	Responsory Trope	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
04e9ea8a-4777-54fe-b28a-2c2ad7cb3bc5		Rb	Short Responsory	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
8becb45d-781d-5fe9-ad2c-2018e15efcb0		RbV	Short Responsory Verse	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
9722f241-6d96-523e-bd2a-b796604b3ae3		H	Hymn	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
44949c48-3a9f-5084-8fcc-2a245a77e520		HDiv	Hymn division	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
c8e3fe6d-2c2f-583b-8078-2ba493d54efa		HStr	Hymn strophe	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
a289a815-0711-516f-a380-b9dba50a486f		Ps	Psalm (or its division)	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
157c078d-2de2-58e1-b5cb-8ed485a0f81a		CantVT	Canticle from the Old Testament	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
cf5c6def-75e9-553c-9f26-4f5448edf7f7		CantNT	Canticle from the New Testament, including the Symbol of St Athanasius	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
6bf94722-19e4-53de-99c9-962d86a60a90		W	Versicle	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
a52d0c84-4027-59ba-8186-f0ba6a332783		WSac	Versiculus sacerdotalis	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
6bdf78df-c9ee-56f8-8aa5-a82c284be1a9		F	Formula	2026-04-27T09:21:00.013070+00:00	"[""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Other""]"	"[""Sacramentary/Collectary""]"
